date_id,date,day_of_week,month,year
20220217,2022-02-17,Thursday,February,2022
20220707,2022-07-07,Thursday,July,2022
20220508,2022-05-08,Sunday,May,2022
20221223,2022-12-23,Friday,December,2022
20220419,2022-04-19,Tuesday,April,2022
20220602,2022-06-02,Thursday,June,2022
20220210,2022-02-10,Thursday,February,2022
20220618,2022-06-18,Saturday,June,2022
20221020,2022-10-20,Thursday,October,2022
20221229,2022-12-29,Thursday,December,2022
20221224,2022-12-24,Saturday,December,2022
20220530,2022-05-30,Monday,May,2022
20221027,2022-10-27,Thursday,October,2022
20221230,2022-12-30,Friday,December,2022
20220611,2022-06-11,Saturday,June,2022
20220801,2022-08-01,Monday,August,2022
20220328,2022-03-28,Monday,March,2022
20220726,2022-07-26,Tuesday,July,2022
20220625,2022-06-25,Saturday,June,2022
20220309,2022-03-09,Wednesday,March,2022
20220515,2022-05-15,Sunday,May,2022
20220927,2022-09-27,Tuesday,September,2022
20221024,2022-10-24,Monday,October,2022
20220628,2022-06-28,Tuesday,June,2022
20220923,2022-09-23,Friday,September,2022
20220217,2022-02-17,Thursday,February,2022
20221011,2022-10-11,Tuesday,October,2022
20221115,2022-11-15,Tuesday,November,2022
20221217,2022-12-17,Saturday,December,2022
20220518,2022-05-18,Wednesday,May,2022
20220406,2022-04-06,Wednesday,April,2022
20220809,2022-08-09,Tuesday,August,2022
20220609,2022-06-09,Thursday,June,2022
20221122,2022-11-22,Tuesday,November,2022
20220814,2022-08-14,Sunday,August,2022
20221017,2022-10-17,Monday,October,2022
20220504,2022-05-04,Wednesday,May,2022
20220406,2022-04-06,Wednesday,April,2022
20220803,2022-08-03,Wednesday,August,2022
20220726,2022-07-26,Tuesday,July,2022
20220720,2022-07-20,Wednesday,July,2022
20221023,2022-10-23,Sunday,October,2022
20220330,2022-03-30,Wednesday,March,2022
20220626,2022-06-26,Sunday,June,2022
20221102,2022-11-02,Wednesday,November,2022
20220719,2022-07-19,Tuesday,July,2022
20220920,2022-09-20,Tuesday,September,2022
20221229,2022-12-29,Thursday,December,2022
20220319,2022-03-19,Saturday,March,2022
20221105,2022-11-05,Saturday,November,2022
20221203,2022-12-03,Saturday,December,2022
20220408,2022-04-08,Friday,April,2022
20220401,2022-04-01,Friday,April,2022
20220325,2022-03-25,Friday,March,2022
20220618,2022-06-18,Saturday,June,2022
20221108,2022-11-08,Tuesday,November,2022
20220309,2022-03-09,Wednesday,March,2022
20220410,2022-04-10,Sunday,April,2022
20220203,2022-02-03,Thursday,February,2022
20220415,2022-04-15,Friday,April,2022
20220902,2022-09-02,Friday,September,2022
20221216,2022-12-16,Friday,December,2022
20221021,2022-10-21,Friday,October,2022
20220419,2022-04-19,Tuesday,April,2022
20220226,2022-02-26,Saturday,February,2022
20220810,2022-08-10,Wednesday,August,2022
20220726,2022-07-26,Tuesday,July,2022
20221213,2022-12-13,Tuesday,December,2022
20220423,2022-04-23,Saturday,April,2022
20221218,2022-12-18,Sunday,December,2022
20220625,2022-06-25,Saturday,June,2022
20220815,2022-08-15,Monday,August,2022
20220321,2022-03-21,Monday,March,2022
20220118,2022-01-18,Tuesday,January,2022
20221030,2022-10-30,Sunday,October,2022
20220615,2022-06-15,Wednesday,June,2022
20220127,2022-01-27,Thursday,January,2022
20220826,2022-08-26,Friday,August,2022
20221129,2022-11-29,Tuesday,November,2022
20220411,2022-04-11,Monday,April,2022
20220304,2022-03-04,Friday,March,2022
20220808,2022-08-08,Monday,August,2022
20220506,2022-05-06,Friday,May,2022
20220518,2022-05-18,Wednesday,May,2022
20220108,2022-01-08,Saturday,January,2022
20220716,2022-07-16,Saturday,July,2022
20221231,2022-12-31,Saturday,December,2022
20220701,2022-07-01,Friday,July,2022
20220502,2022-05-02,Monday,May,2022
20220630,2022-06-30,Thursday,June,2022
20221001,2022-10-01,Saturday,October,2022
20220417,2022-04-17,Sunday,April,2022
20221017,2022-10-17,Monday,October,2022
20220812,2022-08-12,Friday,August,2022
20220212,2022-02-12,Saturday,February,2022
20220223,2022-02-23,Wednesday,February,2022
20220503,2022-05-03,Tuesday,May,2022
20220212,2022-02-12,Saturday,February,2022
20220203,2022-02-03,Thursday,February,2022
20220818,2022-08-18,Thursday,August,2022
20220719,2022-07-19,Tuesday,July,2022
20220405,2022-04-05,Tuesday,April,2022
20220908,2022-09-08,Thursday,September,2022
20220112,2022-01-12,Wednesday,January,2022
20220605,2022-06-05,Sunday,June,2022
20220105,2022-01-05,Wednesday,January,2022
20220906,2022-09-06,Tuesday,September,2022
20220324,2022-03-24,Thursday,March,2022
20220507,2022-05-07,Saturday,May,2022
20220617,2022-06-17,Friday,June,2022
20220106,2022-01-06,Thursday,January,2022
20220611,2022-06-11,Saturday,June,2022
20220315,2022-03-15,Tuesday,March,2022
20220109,2022-01-09,Sunday,January,2022
20220725,2022-07-25,Monday,July,2022
20220728,2022-07-28,Thursday,July,2022
20220712,2022-07-12,Tuesday,July,2022
20221009,2022-10-09,Sunday,October,2022
20220923,2022-09-23,Friday,September,2022
20221208,2022-12-08,Thursday,December,2022
20221027,2022-10-27,Thursday,October,2022
20220329,2022-03-29,Tuesday,March,2022
20220611,2022-06-11,Saturday,June,2022
20221102,2022-11-02,Wednesday,November,2022
20221010,2022-10-10,Monday,October,2022
20220731,2022-07-31,Sunday,July,2022
20220416,2022-04-16,Saturday,April,2022
20220531,2022-05-31,Tuesday,May,2022
20220526,2022-05-26,Thursday,May,2022
20220210,2022-02-10,Thursday,February,2022
20220113,2022-01-13,Thursday,January,2022
20220629,2022-06-29,Wednesday,June,2022
20221024,2022-10-24,Monday,October,2022
20220410,2022-04-10,Sunday,April,2022
20220711,2022-07-11,Monday,July,2022
20220902,2022-09-02,Friday,September,2022
20220829,2022-08-29,Monday,August,2022
20220207,2022-02-07,Monday,February,2022
20220121,2022-01-21,Friday,January,2022
20220201,2022-02-01,Tuesday,February,2022
20220708,2022-07-08,Friday,July,2022
20220826,2022-08-26,Friday,August,2022
20220628,2022-06-28,Tuesday,June,2022
20220417,2022-04-17,Sunday,April,2022
20220803,2022-08-03,Wednesday,August,2022
20220106,2022-01-06,Thursday,January,2022
20220827,2022-08-27,Saturday,August,2022
20220418,2022-04-18,Monday,April,2022
20221110,2022-11-10,Thursday,November,2022
20221020,2022-10-20,Thursday,October,2022
20221107,2022-11-07,Monday,November,2022
20220711,2022-07-11,Monday,July,2022
20220329,2022-03-29,Tuesday,March,2022
20220427,2022-04-27,Wednesday,April,2022
20220225,2022-02-25,Friday,February,2022
20221121,2022-11-21,Monday,November,2022
20220321,2022-03-21,Monday,March,2022
20220205,2022-02-05,Saturday,February,2022
20220528,2022-05-28,Saturday,May,2022
20221009,2022-10-09,Sunday,October,2022
20220629,2022-06-29,Wednesday,June,2022
20220318,2022-03-18,Friday,March,2022
20220731,2022-07-31,Sunday,July,2022
20220101,2022-01-01,Saturday,January,2022
20220417,2022-04-17,Sunday,April,2022
20221004,2022-10-04,Tuesday,October,2022
20221220,2022-12-20,Tuesday,December,2022
20220301,2022-03-01,Tuesday,March,2022
20220112,2022-01-12,Wednesday,January,2022
20221126,2022-11-26,Saturday,November,2022
20220629,2022-06-29,Wednesday,June,2022
20220111,2022-01-11,Tuesday,January,2022
20220911,2022-09-11,Sunday,September,2022
20220705,2022-07-05,Tuesday,July,2022
20220719,2022-07-19,Tuesday,July,2022
20220920,2022-09-20,Tuesday,September,2022
20220216,2022-02-16,Wednesday,February,2022
20220531,2022-05-31,Tuesday,May,2022
20220103,2022-01-03,Monday,January,2022
20221104,2022-11-04,Friday,November,2022
20220119,2022-01-19,Wednesday,January,2022
20221129,2022-11-29,Tuesday,November,2022
20220304,2022-03-04,Friday,March,2022
20220221,2022-02-21,Monday,February,2022
20221119,2022-11-19,Saturday,November,2022
20220723,2022-07-23,Saturday,July,2022
20220822,2022-08-22,Monday,August,2022
20220109,2022-01-09,Sunday,January,2022
20220118,2022-01-18,Tuesday,January,2022
20220511,2022-05-11,Wednesday,May,2022
20220206,2022-02-06,Sunday,February,2022
20220514,2022-05-14,Saturday,May,2022
20220721,2022-07-21,Thursday,July,2022
20220710,2022-07-10,Sunday,July,2022
20220113,2022-01-13,Thursday,January,2022
20221207,2022-12-07,Wednesday,December,2022
20220308,2022-03-08,Tuesday,March,2022
20220710,2022-07-10,Sunday,July,2022
20220225,2022-02-25,Friday,February,2022
20220817,2022-08-17,Wednesday,August,2022
20220531,2022-05-31,Tuesday,May,2022
20220216,2022-02-16,Wednesday,February,2022
20220321,2022-03-21,Monday,March,2022
20220524,2022-05-24,Tuesday,May,2022
20220627,2022-06-27,Monday,June,2022
20220108,2022-01-08,Saturday,January,2022
20221018,2022-10-18,Tuesday,October,2022
20220508,2022-05-08,Sunday,May,2022
20220118,2022-01-18,Tuesday,January,2022
20221013,2022-10-13,Thursday,October,2022
20220814,2022-08-14,Sunday,August,2022
20220123,2022-01-23,Sunday,January,2022
20220827,2022-08-27,Saturday,August,2022
20220114,2022-01-14,Friday,January,2022
20220906,2022-09-06,Tuesday,September,2022
20221119,2022-11-19,Saturday,November,2022
20220112,2022-01-12,Wednesday,January,2022
20220915,2022-09-15,Thursday,September,2022
20220429,2022-04-29,Friday,April,2022
20221218,2022-12-18,Sunday,December,2022
20221004,2022-10-04,Tuesday,October,2022
20220827,2022-08-27,Saturday,August,2022
20220319,2022-03-19,Saturday,March,2022
20220320,2022-03-20,Sunday,March,2022
20220106,2022-01-06,Thursday,January,2022
20220507,2022-05-07,Saturday,May,2022
20220721,2022-07-21,Thursday,July,2022
20220217,2022-02-17,Thursday,February,2022
20220929,2022-09-29,Thursday,September,2022
20220822,2022-08-22,Monday,August,2022
20221024,2022-10-24,Monday,October,2022
20220624,2022-06-24,Friday,June,2022
20220321,2022-03-21,Monday,March,2022
20221126,2022-11-26,Saturday,November,2022
20220729,2022-07-29,Friday,July,2022
20220917,2022-09-17,Saturday,September,2022
20220719,2022-07-19,Tuesday,July,2022
20220408,2022-04-08,Friday,April,2022
20220813,2022-08-13,Saturday,August,2022
20220621,2022-06-21,Tuesday,June,2022
20220819,2022-08-19,Friday,August,2022
20221021,2022-10-21,Friday,October,2022
20221108,2022-11-08,Tuesday,November,2022
20220607,2022-06-07,Tuesday,June,2022
20221129,2022-11-29,Tuesday,November,2022
20220923,2022-09-23,Friday,September,2022
20220716,2022-07-16,Saturday,July,2022
20220106,2022-01-06,Thursday,January,2022
20221002,2022-10-02,Sunday,October,2022
20220114,2022-01-14,Friday,January,2022
20220912,2022-09-12,Monday,September,2022
20221127,2022-11-27,Sunday,November,2022
20220722,2022-07-22,Friday,July,2022
20221002,2022-10-02,Sunday,October,2022
20220123,2022-01-23,Sunday,January,2022
20221229,2022-12-29,Thursday,December,2022
20220120,2022-01-20,Thursday,January,2022
20221201,2022-12-01,Thursday,December,2022
20220329,2022-03-29,Tuesday,March,2022
20221226,2022-12-26,Monday,December,2022
20220104,2022-01-04,Tuesday,January,2022
20220829,2022-08-29,Monday,August,2022
