order_item_id,order_id,product_id,quantity,price
79311,9025,196,3,85.86
89838,9446,384,5,72.49
20003,3545,278,4,7.04
27311,6534,39,1,86.84
90515,8789,331,10,83.67
36669,1493,168,7,8.76
47200,5635,72,10,54.78
81065,7237,192,1,72.74
26733,9903,200,8,68.97
96243,9171,73,7,26.57
62153,4423,339,8,82.14
64456,2041,425,2,43.61
72984,2396,470,8,31.2
85117,6432,408,7,91.48
62483,3750,352,6,29.64
29812,1085,377,3,85.35
40175,5313,416,3,97.36
56364,5286,419,10,38.84
17882,6689,13,6,22.46
11763,2338,482,1,84.79
24800,5784,128,10,86.59
81444,3694,386,3,34.33
97627,2171,373,1,89.51
15568,5457,97,10,10.62
88240,9831,221,1,54.3
85481,9731,399,10,98.61
32781,5037,453,9,59.27
32522,5326,338,8,44.04
52026,5635,206,6,82.75
55266,5457,488,9,48.67
71679,1110,242,4,57.48
64268,7765,149,10,43.57
88252,1493,497,1,45.55
75714,8389,378,1,96.06
72507,1282,278,4,7.22
17787,2605,288,3,75.84
53617,9363,479,3,74.89
27038,9711,317,8,92.24
92204,5725,56,3,96.96
97598,7366,282,9,36.44
99571,8660,424,10,34.83
78295,2041,430,10,54.17
17656,4814,493,1,68.12
89857,9281,55,9,44.57
10979,7280,357,3,92.67
23897,1282,19,3,46.14
68435,7449,159,9,29.73
40958,9446,450,7,44.24
52313,8789,456,3,44.72
44142,9025,444,3,86.57
52454,6040,223,6,31.69
96071,9809,186,10,37.77
78098,6982,234,6,48.25
10721,8500,411,4,82.14
96717,9286,445,3,68.11
59851,6816,481,10,75.4
39274,4184,457,1,68.94
92846,7749,440,4,94.94
45399,3305,295,9,92.01
77898,5286,114,3,80.41
24782,1910,167,1,48.83
85836,8684,274,3,97.15
33006,9711,67,10,71.11
27385,7470,302,7,52.15
17102,2019,337,10,8.33
89565,5313,368,8,31.8
76388,6354,73,10,66.19
30897,9536,415,4,46.63
66396,5152,315,8,100.34
37556,4940,236,10,42.9
39783,8637,336,3,81.81
47748,9335,374,1,33.37
78334,7765,391,3,71.63
53211,2800,259,9,47.94
74377,6534,134,4,85.91
99766,9536,290,2,54.5
65185,3470,343,5,23.46
90109,1114,326,1,93.63
71066,8789,11,9,90.5
38719,4103,380,5,94.44
54723,8660,348,4,18.97
45301,8097,59,5,34.52
96204,4010,479,4,38.97
41649,8539,441,9,29.35
12345,3255,214,10,32.91
38743,7809,115,3,75.23
32504,8637,313,1,18.55
29518,5784,70,7,28.69
33230,2952,305,3,56.34
60866,7835,83,3,92.59
94442,2984,168,6,95.44
76312,1041,220,9,32.63
29520,3133,388,6,87.64
97888,1108,332,4,67.4
11156,6354,169,8,55.03
