order_id,order_date,customer_id,total_amount
5504,2022-06-19,771,-10.0
8727,2022-02-20,,-10.0
3784,2022-09-08,,138.16
8598,2022-07-16,,-10.0
2382,2022-10-23,,-10.0
2222,2022-06-29,788,-10.0
6252,2022-12-15,,-10.0
8261,2022-01-19,,369.8
8733,2022-03-03,,106.48
4136,2022-06-21,,-10.0
1597,2022-08-10,,-10.0
5705,2022-08-23,,-10.0
7286,2022-12-21,43,-10.0
8517,2022-12-25,420,-10.0
6063,2022-12-19,,-10.0
8301,2022-04-12,,-10.0
3456,2022-12-28,,446.73
1987,2022-12-29,,37.78
7672,2022-09-30,,252.29
2375,2022-06-19,,305.64
7665,2022-01-03,218,-10.0
8962,2022-09-26,,-10.0
8877,2022-05-25,193,-10.0
8451,2022-01-28,,-10.0
4216,2022-10-13,,272.39
5618,2022-10-07,,357.8
4496,2022-04-12,,-10.0
6460,2022-11-21,,-10.0
9261,2022-11-29,,320.72
2503,2022-08-16,,91.33
2920,2022-04-08,,423.65
3272,2022-07-02,,464.68
8504,2022-02-21,,-10.0
7433,2022-06-04,562,-10.0
5841,2022-10-15,,-10.0
9309,2022-05-06,110,-10.0
4971,2022-12-22,,421.55
8101,2022-02-11,840,-10.0
7846,2022-11-06,,175.65
4509,2022-05-19,361,-10.0
4592,2022-10-31,,-10.0
7386,2022-11-13,,210.97
6295,2022-12-24,300,-10.0
5442,2022-07-08,,-10.0
9440,2022-02-07,854,-10.0
2443,2022-01-03,232,-10.0
1077,2022-09-01,,-10.0
1181,2022-05-06,,-10.0
4124,2022-01-24,,425.8
4353,2022-03-26,,-10.0
4867,2022-07-16,837,-10.0
9313,2022-03-12,,-10.0
4714,2022-04-26,,-10.0
8802,2022-02-26,,313.82
7886,2022-03-02,875,-10.0
2410,2022-08-04,,216.87
6995,2022-11-26,,-10.0
8468,2022-09-06,969,-10.0
9684,2022-02-11,,307.38
2426,2022-06-12,,-10.0
9731,2022-05-13,,-10.0
1790,2022-04-05,,-10.0
1186,2022-01-24,171,-10.0
4889,2022-04-20,,235.53
8939,2022-06-26,933,-10.0
5173,2022-03-09,,332.54
7389,2022-10-17,604,-10.0
8224,2022-10-01,,-10.0
6672,2022-02-02,,396.82
9192,2022-08-09,,-10.0
4318,2022-10-01,,357.95
3367,2022-11-01,,389.23
9328,2022-06-04,293,-10.0
8896,2022-11-27,375,-10.0
9016,2022-03-13,,-10.0
7823,2022-12-03,,370.45
9789,2022-07-12,,33.67
7969,2022-10-10,801,-10.0
7284,2022-09-30,972,-10.0
1304,2022-12-27,,418.47
4746,2022-06-05,,197.67
1246,2022-11-15,133,-10.0
8134,2022-12-14,,-10.0
8852,2022-03-15,,-10.0
8592,2022-10-15,,367.58
2598,2022-09-18,,-10.0
6039,2022-05-17,,324.99
5874,2022-11-06,,249.07
2817,2022-11-26,,229.15
7860,2022-07-23,,459.97
8908,2022-10-23,,418.63
9587,2022-01-12,878,-10.0
1406,2022-06-01,169,-10.0
1876,2022-10-06,,60.86
5045,2022-10-22,,408.91
8886,2022-06-11,,-10.0
4187,2022-07-25,,-10.0
4234,2022-07-02,,490.76
4692,2022-11-13,,-10.0
6987,2022-04-28,,-10.0
4924,2022-07-26,,419.88
3950,2022-12-21,,324.4
5194,2022-08-22,401,-10.0
6177,2022-10-01,,-10.0
1674,2022-04-16,,-10.0
4480,2022-06-21,543,-10.0
4400,2022-07-05,,-10.0
5512,2022-04-22,953,-10.0
1026,2022-02-23,,-10.0
5989,2022-07-09,,93.1
3469,2022-01-02,123,-10.0
1685,2022-12-05,,-10.0
1134,2022-07-19,139,-10.0
9366,2022-06-08,574,-10.0
1864,2022-01-13,,-10.0
6772,2022-07-25,,-10.0
1024,2022-01-30,,-10.0
5585,2022-03-09,856,-10.0
7086,2022-05-03,,-10.0
1691,2022-12-01,,-10.0
9995,2022-08-29,,-10.0
2257,2022-08-02,,471.96
5635,2022-07-09,,-10.0
8483,2022-05-04,,453.57
7245,2022-12-30,,-10.0
2181,2022-05-18,,72.42
4762,2022-09-26,560,-10.0
7258,2022-04-03,977,-10.0
5457,2022-09-01,,-10.0
7615,2022-01-24,344,-10.0
7739,2022-03-14,55,-10.0
5459,2022-07-27,,-10.0
8371,2022-02-05,,294.58
3783,2022-03-02,,-10.0
3580,2022-04-01,,-10.0
4110,2022-12-29,,20.58
1092,2022-03-06,148,-10.0
2269,2022-07-21,,-10.0
4773,2022-02-02,,266.47
1530,2022-06-03,,-10.0
3638,2022-11-30,,-10.0
